timestamp,traffic_label,ap1_proto,ap1_streams,ap1_udp_rate,ap1_tcp_window,ap1_throughput_bps,ap1_loss_pct,ap1_jitter_ms,ap1_txd_client_mac,ap1_txd_tx_delta_bytes,ap1_txd_estimated_throughput_bps,ap1_wifi_channel,ap1_wifi_frequency_mhz,ap1_wifi_bandwidth_mhz,ap1_wifi_tx_power_dbm,ap1_wifi_cwmin,ap1_wifi_cwmax,ap1_wifi_noise_floor_dbm,ap1_wifi_channel_busy_percent,ap1_wifi_nss,ap1_wifi_rts_cts,ap1_wifi_latency_min_ms,ap1_wifi_latency_avg_ms,ap1_wifi_latency_max_ms,ap1_client_client_mac,ap1_client_signal_rssi_dbm,ap1_client_tx_retries,ap1_client_tx_failed,ap1_client_tx_bitrate_mbps,ap1_client_rx_bitrate_mbps,ap1_client_tx_bytes,ap1_client_rx_bytes,ap1_client_mcs_index,ap2_proto,ap2_streams,ap2_udp_rate,ap2_tcp_window,ap2_throughput_bps,ap2_loss_pct,ap2_jitter_ms,ap2_txd_client_mac,ap2_txd_tx_delta_bytes,ap2_txd_estimated_throughput_bps,ap2_wifi_channel,ap2_wifi_frequency_mhz,ap2_wifi_bandwidth_mhz,ap2_wifi_tx_power_dbm,ap2_wifi_cwmin,ap2_wifi_cwmax,ap2_wifi_noise_floor_dbm,ap2_wifi_channel_busy_percent,ap2_wifi_nss,ap2_wifi_rts_cts,ap2_wifi_latency_min_ms,ap2_wifi_latency_avg_ms,ap2_wifi_latency_max_ms,ap2_client_client_mac,ap2_client_signal_rssi_dbm,ap2_client_tx_retries,ap2_client_tx_failed,ap2_client_tx_bitrate_mbps,ap2_client_rx_bitrate_mbps,ap2_client_tx_bytes,ap2_client_rx_bytes,ap2_client_mcs_index
2025-08-12 14:21:07,RUN_20250812_142040_36,TCP,1,,4M,221246814.6641796,0.0,,68:54:5a:e2:f2:c0,284555839.0,227644671.0,40,5200,80,17,7,15,-92,0,1,on,0.987,1.482,1.756,68:54:5a:e2:f2:c0,-56.0,3088.0,3088.0,390.0,866.7,284557597.0,336014.0,9.0,TCP,4,,,67692662.6421784,0.0,,ac:ed:5c:47:06:cb,82552713.0,66042170.0,44,5220,40,23,31,63,-91,1,2,off,1.691,1.819,2.016,ac:ed:5c:47:06:cb,-43.0,2133.0,2133.0,135.0,300.0,82553073.0,653035.0,7.0
2025-08-12 14:21:39,RUN_20250812_142114_37,TCP,2,,,68735275.2090599,0.0,,68:54:5a:e2:f2:c0,84155273.0,67324218.0,40,5200,40,23,15,31,-92,23,1,on,0.981,1.186,1.767,68:54:5a:e2:f2:c0,-44.0,59.0,59.0,135.0,270.0,84156619.0,186465.0,7.0,UDP,1,100M,,27958921.52451996,0.0,2.1165791072635125,ac:ed:5c:47:06:cb,35967311.0,28773848.0,36,5180,20,10,7,15,-92,43,2,off,0.992,1.15,1.311,ac:ed:5c:47:06:cb,-46.0,2264.0,2264.0,65.0,6.5,35967473.0,5153.0,7.0
2025-08-12 14:22:14,RUN_20250812_142146_38,TCP,4,,,35257790.654954,0.0,,68:54:5a:e2:f2:c0,40756556.0,32605244.0,36,5180,20,10,7,15,-92,37,1,off,1.928,27.038,102.222,68:54:5a:e2:f2:c0,-54.0,174.0,174.0,65.0,144.4,40757800.0,234854.0,7.0,TCP,1,,,26057840.58444776,0.0,,ac:ed:5c:47:06:cb,67643866.0,54115092.0,36,5180,20,17,7,15,-92,35,2,on,0.992,11.415,41.284,ac:ed:5c:47:06:cb,-47.0,2343.0,2343.0,65.0,144.4,67643866.0,155474.0,7.0
2025-08-12 14:22:47,RUN_20250812_142221_39,TCP,2,,,29037110.45798908,0.0,,68:54:5a:e2:f2:c0,33868761.0,27095008.0,48,5240,20,10,63,127,-92,28,1,off,0.918,35.646,109.519,68:54:5a:e2:f2:c0,-57.0,178.0,178.0,65.0,144.4,33870005.0,114640.0,7.0,TCP,1,,1M,30678583.946232043,0.0,,ac:ed:5c:47:06:cb,38535087.0,30828069.0,48,5240,20,10,7,15,-91,31,2,on,1.074,14.979,41.45,ac:ed:5c:47:06:cb,-41.0,91.0,91.0,65.0,6.0,38535087.0,185395.0,7.0
2025-08-12 14:23:53,RUN_20250812_142328_41,TCP,1,,4M,58719574.8529317,0.0,,68:54:5a:e2:f2:c0,70467914.0,56374331.0,40,5200,20,17,7,15,-92,28,2,off,0.736,1.772,2.367,68:54:5a:e2:f2:c0,-57.0,752.0,752.0,65.0,144.4,70469564.0,154703.0,7.0,UDP,1,5M,,4999614.403084775,0.0,0.062915446047865,ac:ed:5c:47:06:cb,6435413.0,5148330.0,36,5180,20,17,7,15,-92,24,1,off,0.892,1.804,2.244,ac:ed:5c:47:06:cb,-49.0,26.0,26.0,65.0,6.5,6435413.0,4853.0,7.0
2025-08-12 14:25:31,RUN_20250812_142506_44,TCP,2,,,23116784.64322495,0.0,,68:54:5a:e2:f2:c0,24042095.0,19233676.0,40,5200,80,10,31,63,-92,0,2,on,0.977,6.27,20.357,68:54:5a:e2:f2:c0,-56.0,1961.0,1961.0,29.3,866.7,24043393.0,174004.0,0.0,UDP,1,10M,,9999227.80625477,0.1969416126042632,1.4988402896983315,ac:ed:5c:47:06:cb,12866399.0,10293119.0,48,5240,20,10,15,31,-87,22,2,off,1.319,14.804,54.662,ac:ed:5c:47:06:cb,-42.0,1826.0,1843.0,65.0,6.0,12866399.0,5007.0,7.0
2025-08-12 14:26:05,RUN_20250812_142538_45,TCP,2,,,29609367.92355568,0.0,,68:54:5a:e2:f2:c0,35148175.0,28118540.0,48,5240,20,10,15,31,-92,0,1,on,1.987,2.035,2.139,68:54:5a:e2:f2:c0,-56.0,327.0,327.0,65.0,144.4,35149452.0,117615.0,7.0,TCP,16,,,33843354.13038383,0.0,,ac:ed:5c:47:06:cb,51494840.0,41195872.0,48,5240,20,10,63,127,-87,22,1,off,1.337,1.703,2.343,ac:ed:5c:47:06:cb,-44.0,1841.0,1858.0,65.0,144.4,51494840.0,889979.0,7.0
2025-08-12 14:28:52,RUN_20250812_142826_50,UDP,1,400M,,60854917.01713897,30.83336505881905,0.0322176848117377,68:54:5a:e2:f2:c0,78280869.0,62624695.0,44,5220,20,10,31,63,-92,7,1,off,1.935,2.005,2.132,68:54:5a:e2:f2:c0,-44.0,5932.0,5947.0,65.0,104.0,78282146.0,9997.0,7.0,UDP,1,200M,,56361664.55551077,0.0,0.212382146879102,ac:ed:5c:47:06:cb,72505089.0,58004071.0,40,5200,20,17,15,31,-91,0,1,on,1.309,2.126,3.339,ac:ed:5c:47:06:cb,-46.0,149.0,149.0,65.0,6.0,72506035.0,19281.0,7.0
2025-08-12 14:29:25,RUN_20250812_142859_51,UDP,1,400M,,15574566.518381156,0.1785050204537002,0.6826935374594172,68:54:5a:e2:f2:c0,20037736.0,16030188.0,44,5220,80,10,7,15,-92,7,1,on,1.08,1.583,2.033,68:54:5a:e2:f2:c0,-45.0,7487.0,7506.0,40.5,162.0,20039034.0,7695.0,2.0,UDP,1,400M,,35552177.09301867,0.0,0.3768091657911346,ac:ed:5c:47:06:cb,118238258.0,94590606.0,40,5200,20,23,31,63,-91,0,1,on,1.671,2.272,2.59,ac:ed:5c:47:06:cb,-47.0,1903.0,1903.0,65.0,6.0,118238258.0,21494.0,7.0
2025-08-12 14:31:04,RUN_20250812_143039_54,UDP,1,50M,,49993827.249382,14.38203809259002,0.266063619621541,68:54:5a:e2:f2:c0,64309777.0,51447821.0,44,5220,80,23,7,15,-91,0,1,off,0.96,1.346,2.372,68:54:5a:e2:f2:c0,-44.0,63.0,63.0,390.0,351.0,64311535.0,9464.0,9.0,UDP,1,50M,,48046558.0135685,0.0,0.3019808709839925,ac:ed:5c:47:06:cb,61805659.0,49444527.0,44,5220,20,10,7,15,-91,0,2,on,1.497,1.981,2.338,ac:ed:5c:47:06:cb,-47.0,213.0,213.0,65.0,6.0,61805659.0,6956.0,7.0
